,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
90,Udupi,5.0,10.0,1.0,18.0,1,0,1,0,1,Accident case
91,Udupi,0.0,11.0,1.0,31.0,1,0,1,0,1,Accident case
92,Udupi,1.0,11.0,1.0,39.0,1,0,1,0,1,Accident case
93,Hiriyadka,1.0,11.0,0.0,39.0,1,0,1,6,1,Other case
94,Udupi,0.0,11.0,0.0,27.0,0,0,0,1,2,Accident case
95,Udupi,2.0,7.0,1.0,60.0,1,0,1,2,1,Other case
96,Karkala,6.0,11.0,1.0,21.0,0,0,1,1,2,Accident case
97,Udupi,2.0,7.0,1.0,39.0,1,0,1,2,1,Violence Act in case
98,Udupi,2.0,7.0,1.0,39.0,1,0,1,2,1,Violence Act in case
99,Kota,0.0,11.0,0.0,21.0,0,1,2,5,0,Violence Act in case
101,Hiriyadka,5.0,11.0,1.0,68.0,0,0,1,3,2,Theft case
102,Kundapur,5.0,11.0,0.0,39.0,1,0,2,1,1,Other case
103,Kundapur,5.0,11.0,0.0,62.0,1,0,1,0,1,Other case
104,Udupi,4.0,11.0,1.0,58.0,0,0,0,0,2,Accident case
105,Karkala,5.0,11.0,0.0,39.0,0,0,0,1,2,Accident case
106,Hiriyadka,4.0,11.0,1.0,33.0,0,0,3,6,2,Accident case
107,Kundapur,5.0,11.0,0.0,63.0,1,0,1,0,1,Accident case
108,Udupi,3.0,11.0,0.0,39.0,0,1,0,1,0,Accident case
110,Kundapur,4.0,11.0,1.0,25.0,0,0,0,1,2,Jugari case
111,Udupi,1.0,11.0,0.0,46.0,1,0,1,0,1,Theft case
112,Udupi,2.0,10.0,0.0,46.0,0,0,2,3,2,Theft case
113,Kundapur,2.0,11.0,0.0,46.0,1,0,1,0,1,Theft case
114,Udupi,1.0,10.0,0.0,29.0,0,0,3,3,2,Fraud case
115,Kundapur,3.0,11.0,0.0,30.0,1,0,1,3,1,Jugari case
116,Karkala,5.0,11.0,1.0,20.0,1,0,2,0,1,Accident case
117,Karkala,5.0,11.0,0.0,50.0,0,0,1,3,2,Accident case
118,Byndoor,3.0,11.0,1.0,48.0,0,0,3,3,2,Accident case
119,Udupi,3.0,11.0,0.0,65.0,1,0,3,2,1,Accident case
120,Kota,4.0,11.0,1.0,20.0,0,0,2,1,2,Accident case
121,Kollur,3.0,11.0,0.0,50.0,0,0,1,2,2,Violence Act in case
122,Kollur,3.0,11.0,0.0,30.0,1,0,4,3,1,Violence Act in case
123,Udupi,2.0,11.0,0.0,39.0,1,0,1,0,1,Other case
124,Udupi,3.0,11.0,0.0,67.0,0,0,0,0,2,Accident case
