,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
952,Udupi,2.0,2.0,0.0,48.0,0,0,0,1,2,Theft case
953,Karkala,2.0,2.0,1.0,20.0,1,0,1,0,1,Accident case
954,Shankaranarayana,6.0,2.0,1.0,39.0,0,0,0,0,2,Accident case
955,Udupi,2.0,2.0,0.0,29.0,1,0,1,1,1,Accident case
956,Byndoor,2.0,2.0,0.0,55.0,0,0,1,2,2,Accident case
957,Kota,4.0,2.0,0.0,24.0,0,0,1,3,2,Missing case
959,Udupi,1.0,2.0,0.0,70.0,1,0,3,0,1,Other case
960,Karkala,1.0,2.0,0.0,50.0,0,0,0,0,2,Other case
961,Udupi,6.0,7.0,0.0,16.0,0,0,0,0,2,Other case
962,Udupi,1.0,2.0,0.0,44.0,0,0,0,0,2,Accident case
963,Shankaranarayana,1.0,2.0,0.0,39.0,1,0,1,0,1,Accident case
964,Kundapur,1.0,2.0,1.0,27.0,0,0,0,0,2,Accident case
965,Kota,6.0,2.0,0.0,48.0,1,0,2,1,1,Missing case
966,Kundapur,6.0,2.0,1.0,39.0,0,0,0,0,2,Other case
967,Kundapur,1.0,1.0,0.0,40.0,1,0,3,2,1,Other case
968,Udupi,0.0,2.0,1.0,39.0,1,0,2,0,1,Jugari case
970,Shankaranarayana,6.0,2.0,0.0,26.0,0,0,2,1,2,Accident case
971,Sirva,4.0,1.0,0.0,19.0,0,1,2,1,0,Accident case
972,Shankaranarayana,5.0,2.0,0.0,39.0,1,0,2,0,1,Accident case
973,Udupi,5.0,2.0,0.0,56.0,1,0,1,0,1,Accident case
974,Byndoor,5.0,2.0,1.0,48.0,1,0,1,1,1,Other case
975,Hiriyadka,3.0,1.0,0.0,37.0,0,1,3,3,0,Other case
976,Kundapur,3.0,2.0,1.0,36.0,1,0,2,0,1,Accident case
977,Kota,2.0,1.0,0.0,36.0,1,0,1,1,1,Accident case
978,Udupi,2.0,1.0,1.0,42.0,1,0,2,1,1,Accident case
979,Karkala,3.0,2.0,1.0,45.0,1,0,1,1,1,Other case
980,Manipal,5.0,2.0,1.0,39.0,1,0,1,2,1,Other case
981,Manipal,5.0,2.0,1.0,39.0,1,0,1,0,1,Other case
982,Byndoor,5.0,2.0,0.0,32.0,0,0,2,2,2,Other case
983,Udupi,0.0,2.0,0.0,21.0,1,0,1,0,1,Accident case
984,Udupi,0.0,2.0,0.0,60.0,0,1,1,4,0,Accident case
985,Kaapu,6.0,2.0,1.0,39.0,0,0,1,1,2,Accident case
986,Kaapu,6.0,2.0,1.0,35.0,1,0,1,0,1,Accident case
987,Hiriyadka,6.0,2.0,1.0,20.0,1,0,1,1,1,Other case
988,Manipal,6.0,2.0,1.0,39.0,1,0,3,1,1,Other case
989,Manipal,6.0,2.0,0.0,39.0,0,0,0,0,2,Other case
990,Udupi,6.0,2.0,1.0,52.0,1,0,1,0,1,Accident case
991,Udupi,5.0,2.0,0.0,60.0,0,0,1,2,2,Accident case
992,Kundapur,6.0,2.0,0.0,38.0,1,0,1,0,1,Accident case
993,Kundapur,4.0,2.0,0.0,22.0,0,0,0,1,2,Accident case
994,Byndoor,5.0,2.0,0.0,56.0,0,0,0,1,2,Accident case
995,Kundapur,2.0,2.0,0.0,39.0,1,0,2,0,1,Fraud case
996,Manipal,4.0,2.0,0.0,34.0,1,0,2,0,1,Accident case
997,Kota,5.0,2.0,0.0,40.0,1,0,1,0,1,Accident case
998,Kundapur,5.0,2.0,0.0,50.0,0,0,0,0,2,Accident case
999,Byndoor,4.0,2.0,0.0,34.0,1,0,6,1,1,Accident case
1000,Udupi,0.0,2.0,1.0,24.0,1,0,2,0,1,Theft case
1001,Sirva,5.0,2.0,1.0,42.0,1,0,1,2,1,Other case
1002,Karkala,2.0,8.0,0.0,37.0,0,0,1,3,2,Other case
1003,Karkala,0.0,5.0,0.0,2.0,0,0,0,4,2,Other case
1004,Udupi,2.0,7.0,0.0,35.0,1,0,1,0,1,Other case
1005,Udupi,2.0,7.0,0.0,39.0,0,0,0,0,2,Accident case
1006,Karkala,6.0,2.0,0.0,23.0,0,1,6,4,0,Other case
1007,Byndoor,4.0,2.0,1.0,36.0,0,0,2,1,2,Other case
1008,Kota,1.0,1.0,1.0,45.0,1,0,1,0,1,Accident case
1009,Kota,0.0,10.0,0.0,59.0,1,0,1,1,1,Theft case
1010,Udupi,3.0,2.0,0.0,60.0,1,0,4,0,1,Accident case
1011,Ajekar,0.0,2.0,1.0,50.0,1,0,2,0,1,Accident case
1012,Byndoor,6.0,2.0,1.0,27.0,1,0,1,1,1,Other case
1013,Byndoor,2.0,2.0,1.0,65.0,1,0,6,3,1,Other case
1014,Manipal,5.0,2.0,0.0,39.0,1,0,3,1,1,Accident case
1015,Karkala,2.0,7.0,0.0,53.0,0,0,0,2,2,Other case
1016,Shankaranarayana,6.0,1.0,1.0,42.0,0,0,0,0,2,Other case
1017,Byndoor,1.0,2.0,1.0,40.0,1,0,1,0,1,Other case
1018,Kota,3.0,2.0,1.0,19.0,0,0,0,0,2,Accident case
1019,Hebri,3.0,2.0,1.0,27.0,0,0,0,0,2,Accident case
1020,Byndoor,3.0,2.0,1.0,39.0,0,0,3,2,2,Accident case
1021,Udupi,2.0,7.0,0.0,39.0,0,0,0,0,2,Other case
1022,Manipal,3.0,2.0,0.0,39.0,0,0,0,0,2,Accident case
1023,Karkala,3.0,2.0,1.0,30.0,0,0,2,2,2,Accident case
1024,Udupi,2.0,2.0,1.0,26.0,1,0,2,1,1,Accident case
1025,Byndoor,1.0,2.0,0.0,27.0,1,0,1,1,1,Accident case
1026,Udupi,3.0,2.0,0.0,44.0,1,0,1,0,1,Accident case
1027,Sirva,5.0,2.0,1.0,46.0,0,0,0,1,2,Other case
1028,Byndoor,2.0,7.0,0.0,40.0,0,0,0,0,2,Other case
1029,Udupi,3.0,2.0,0.0,54.0,0,0,0,0,2,Other case
1030,Karkala,6.0,2.0,0.0,20.0,0,0,0,0,2,Other case
1031,Sirva,2.0,7.0,0.0,37.0,0,1,1,5,0,Other case
1032,Udupi,3.0,2.0,0.0,39.0,1,0,1,0,1,Other case
1033,Kundapur,2.0,2.0,0.0,55.0,1,0,2,0,1,Accident case
1034,Kundapur,0.0,2.0,1.0,28.0,0,0,0,1,2,Accident case
1035,Shankaranarayana,2.0,2.0,1.0,75.0,1,0,3,1,1,Other case
1036,Kollur,2.0,2.0,0.0,50.0,0,0,0,1,2,Accident case
1037,Manipal,1.0,2.0,0.0,39.0,0,0,0,0,2,Theft case
1038,Manipal,1.0,2.0,1.0,39.0,0,0,0,0,2,Theft case
1039,Kota,1.0,2.0,0.0,55.0,1,0,3,1,1,Accident case
1040,Udupi,0.0,2.0,1.0,45.0,0,0,0,0,2,Accident case
1041,Udupi,4.0,2.0,1.0,29.0,1,0,2,0,1,Other case
1042,Karkala,2.0,7.0,0.0,39.0,0,0,0,2,2,Other case
1043,Karkala,6.0,2.0,0.0,22.0,0,0,0,0,2,Theft case
1044,Karkala,4.0,11.0,0.0,53.0,0,0,1,1,2,Other case
1045,Kundapur,6.0,2.0,1.0,22.0,1,0,2,1,1,Accident case
1046,Hebri,0.0,2.0,1.0,39.0,1,0,1,0,1,Accident case
1047,Kundapur,4.0,3.0,1.0,39.0,1,0,1,0,1,Accident case
1048,Udupi,4.0,3.0,0.0,53.0,1,0,1,0,1,Accident case
1049,Kota,4.0,3.0,0.0,60.0,0,0,1,2,2,Other case
1050,Kundapur,3.0,3.0,0.0,28.0,1,0,3,0,1,Theft case
1051,Byndoor,6.0,2.0,0.0,59.0,0,0,1,2,2,Other case
1052,Udupi,2.0,2.0,0.0,36.0,1,0,1,0,1,Accident case
1053,Udupi,3.0,3.0,0.0,39.0,1,0,4,1,1,Other case
1054,Manipal,3.0,3.0,0.0,29.0,1,0,1,1,1,Other case
1055,Kundapur,3.0,3.0,1.0,19.0,1,0,1,1,1,Other case
1056,Udupi,2.0,2.0,1.0,43.0,1,0,1,0,1,Accident case
1057,Kundapur,5.0,2.0,1.0,42.0,1,0,2,1,1,Accident case
1058,Udupi,3.0,3.0,0.0,37.0,1,0,3,3,1,Other case
1059,Kundapur,1.0,2.0,0.0,30.0,1,0,1,0,1,Accident case
1060,Kundapur,2.0,2.0,0.0,22.0,1,0,2,0,1,Other case
1061,Kollur,0.0,1.0,1.0,60.0,1,0,4,1,1,Other case
1062,Udupi,1.0,2.0,1.0,40.0,1,0,3,0,1,Accident case
1063,Udupi,1.0,2.0,0.0,24.0,1,0,2,0,1,Accident case
1064,Udupi,5.0,2.0,0.0,50.0,0,0,0,7,2,Other case
1065,Shankaranarayana,1.0,2.0,0.0,60.0,1,0,2,0,1,Other case
1066,Udupi,1.0,2.0,0.0,26.0,1,0,3,0,1,Accident case
1067,Udupi,1.0,2.0,0.0,63.0,1,0,4,2,1,Accident case
1068,Kundapur,0.0,2.0,1.0,39.0,0,0,0,0,2,Accident case
1069,Hebri,6.0,2.0,0.0,55.0,1,0,2,1,1,Other case
1070,Udupi,0.0,2.0,0.0,39.0,1,0,1,0,1,Jugari case
1071,Kollur,0.0,2.0,1.0,35.0,1,0,2,0,1,Other case
1072,Kollur,0.0,2.0,1.0,70.0,1,0,2,0,1,Other case
1073,Hiriyadka,4.0,3.0,1.0,53.0,1,0,3,1,1,Other case
1074,Udupi,5.0,3.0,1.0,45.0,1,0,2,3,1,Other case
1075,Udupi,5.0,3.0,1.0,22.0,1,0,1,2,1,Other case
1076,Udupi,4.0,3.0,0.0,32.0,1,0,1,0,1,Accident case
1077,Kundapur,5.0,3.0,0.0,39.0,0,0,0,1,2,Accident case
1078,Kota,5.0,3.0,0.0,32.0,1,0,1,0,1,Jugari case
1079,Kota,5.0,3.0,0.0,1.0,0,0,0,0,2,Jugari case
1080,Karkala,5.0,3.0,0.0,41.0,0,0,1,1,2,Other case
1081,Karkala,5.0,3.0,0.0,43.0,0,0,0,0,2,Other case
1082,Udupi,5.0,3.0,0.0,32.0,0,1,0,1,0,Other case
1083,Udupi,5.0,6.0,0.0,25.0,0,0,0,0,2,Other case
1084,Karkala,2.0,7.0,0.0,67.0,0,0,1,4,2,Other case
1085,Hebri,5.0,3.0,0.0,28.0,1,0,3,2,1,Other case
1086,Karkala,4.0,3.0,1.0,49.0,1,0,1,0,1,Theft case
1087,Kota,5.0,3.0,1.0,34.0,1,0,1,0,1,Other case
1088,Kota,5.0,3.0,1.0,55.0,1,0,2,1,1,Other case
1089,Udupi,4.0,3.0,0.0,43.0,1,0,3,0,1,Accident case
1090,Kota,4.0,3.0,0.0,35.0,1,0,1,1,1,Accident case
1091,Karkala,4.0,3.0,0.0,73.0,0,1,2,4,0,Other case
1092,Udupi,3.0,2.0,0.0,53.0,0,0,0,0,2,Other case
1093,Kollur,3.0,3.0,0.0,60.0,0,0,0,2,2,Accident case
1094,Kundapur,4.0,3.0,0.0,55.0,0,0,0,0,2,Accident case
1095,Manipal,4.0,3.0,0.0,39.0,0,0,2,1,2,Accident case
1096,Shankaranarayana,3.0,3.0,1.0,29.0,0,0,0,0,2,Other case
1097,Kundapur,2.0,3.0,0.0,50.0,0,0,0,1,2,Other case
1098,Kundapur,3.0,3.0,1.0,47.0,0,0,1,2,2,Jugari case
1099,Kundapur,1.0,3.0,0.0,39.0,0,0,0,1,2,Accident case
1100,Kundapur,3.0,3.0,1.0,26.0,0,0,0,0,2,Accident case
1101,Sirva,0.0,2.0,0.0,39.0,0,0,0,3,2,Other case
1102,Udupi,2.0,7.0,0.0,45.0,0,0,1,1,2,Accident case
1103,Byndoor,1.0,3.0,1.0,35.0,1,0,1,0,1,Accident case
1104,Kollur,1.0,3.0,1.0,56.0,0,0,0,0,2,Accident case
1105,Karkala,2.0,7.0,0.0,35.0,0,0,0,0,2,Other case
1106,Karkala,2.0,3.0,0.0,25.0,1,0,5,2,1,Other case
1107,Ajekar,1.0,3.0,1.0,23.0,0,0,0,1,2,Accident case
1108,Kota,1.0,3.0,0.0,38.0,1,0,1,0,1,Jugari case
1109,Kota,1.0,3.0,1.0,21.0,1,0,1,0,1,Jugari case
1110,Kota,1.0,3.0,1.0,1.0,0,0,0,0,2,Jugari case
1111,Udupi,0.0,3.0,1.0,36.0,1,0,2,2,1,Accident case
1112,Udupi,1.0,3.0,0.0,33.0,0,0,0,0,2,Accident case
1113,Kundapur,1.0,3.0,1.0,39.0,1,0,1,0,1,Accident case
1115,Kota,1.0,3.0,0.0,39.0,1,0,1,0,1,Other case
1116,Udupi,1.0,3.0,0.0,31.0,1,0,1,0,1,Other case
1117,Kota,1.0,3.0,1.0,48.0,1,0,1,2,1,Other case
1118,Kota,6.0,4.0,0.0,30.0,0,0,0,1,2,Accident case
1119,Hebri,6.0,4.0,1.0,34.0,1,0,2,2,1,Accident case
1120,Udupi,6.0,4.0,0.0,42.0,1,0,3,0,1,Other case
1121,Udupi,6.0,4.0,0.0,52.0,1,0,2,3,1,Theft case
1122,Kundapur,4.0,3.0,1.0,60.0,0,0,0,0,2,Theft case
1123,Kundapur,6.0,3.0,0.0,52.0,0,0,0,1,2,Theft case
1124,Udupi,4.0,1.0,0.0,31.0,1,0,3,4,1,Other case
1125,Hiriyadka,6.0,4.0,1.0,40.0,1,0,1,0,1,Other case
1126,Kundapur,5.0,3.0,0.0,40.0,0,0,0,0,2,Accident case
1128,Kundapur,4.0,3.0,1.0,24.0,0,0,0,2,2,Accident case
1129,Sirva,3.0,3.0,0.0,52.0,1,0,1,0,1,Accident case
1130,Kundapur,3.0,3.0,1.0,43.0,0,0,1,1,2,Accident case
1131,Kundapur,3.0,3.0,0.0,72.0,1,0,2,0,1,Accident case
1132,Karkala,1.0,3.0,0.0,72.0,1,0,1,0,1,Theft case
1133,Udupi,4.0,3.0,0.0,35.0,1,0,1,1,1,Other case
1134,Kundapur,4.0,3.0,0.0,1.0,1,0,1,0,1,Other case
1135,Byndoor,2.0,7.0,0.0,54.0,0,0,0,0,2,Other case
1137,Kundapur,2.0,7.0,1.0,39.0,1,0,1,0,1,Accident case
1138,Kundapur,3.0,3.0,0.0,26.0,1,0,2,0,1,Other case
1139,Byndoor,2.0,3.0,0.0,46.0,0,0,1,1,2,Other case
1140,Karkala,0.0,3.0,1.0,39.0,0,0,0,0,2,Other case
1141,Hebri,2.0,2.0,0.0,32.0,0,1,2,1,0,Other case
1142,Karkala,2.0,3.0,0.0,42.0,1,0,1,0,1,Accident case
1143,Amasebailu,2.0,3.0,0.0,38.0,1,0,2,0,1,Accident case
1144,Udupi,3.0,3.0,0.0,39.0,1,0,2,0,1,Accident case
1147,Karkala,2.0,3.0,1.0,31.0,1,0,1,0,1,Theft case
1148,Byndoor,2.0,3.0,1.0,39.0,1,0,1,1,1,Theft case
1149,Karkala,1.0,3.0,0.0,37.0,0,0,0,0,2,Accident case
1150,Udupi,1.0,3.0,1.0,42.0,1,0,1,0,1,Accident case
1151,Shankaranarayana,0.0,3.0,0.0,39.0,0,0,0,0,2,Accident case
1152,Udupi,2.0,3.0,1.0,35.0,1,0,3,1,1,Accident case
1153,Shankaranarayana,1.0,3.0,0.0,70.0,1,0,3,4,1,Other case
1154,Udupi,2.0,3.0,1.0,41.0,1,0,4,0,1,Accident case
1155,Udupi,5.0,9.0,0.0,59.0,0,1,1,2,0,Fraud case
1156,Udupi,4.0,4.0,1.0,35.0,1,0,3,1,1,Accident case
1157,Udupi,3.0,4.0,0.0,52.0,1,0,1,0,1,Accident case
1158,Karkala,4.0,3.0,1.0,39.0,0,0,0,0,2,Accident case
1159,Karkala,4.0,4.0,1.0,39.0,1,0,3,0,1,Accident case
1160,Manipal,1.0,12.0,0.0,37.0,0,1,0,2,0,Other case
1161,Udupi,6.0,7.0,0.0,39.0,0,0,0,1,2,Other case
1162,Kota,3.0,4.0,1.0,30.0,1,0,1,0,1,Accident case
1163,Kota,3.0,4.0,0.0,31.0,1,0,1,1,1,Accident case
1164,Kundapur,3.0,4.0,0.0,20.0,0,0,0,1,2,Accident case
1165,Kundapur,3.0,4.0,1.0,39.0,0,0,0,2,2,Accident case
1166,Manipal,6.0,4.0,0.0,39.0,0,0,1,1,2,Accident case
1167,Hiriyadka,3.0,4.0,1.0,47.0,0,0,2,1,2,Accident case
1168,Ajekar,2.0,4.0,1.0,24.0,1,0,1,1,1,Other case
1169,Ajekar,2.0,4.0,1.0,37.0,1,0,1,1,1,Other case
1170,Udupi,2.0,4.0,1.0,53.0,0,0,1,1,2,Other case
1171,Udupi,2.0,4.0,0.0,20.0,1,0,2,0,1,Accident case
1172,Byndoor,0.0,4.0,0.0,36.0,1,0,1,2,1,Accident case
1173,Hebri,2.0,4.0,0.0,67.0,1,0,1,1,1,Theft case
1174,Kundapur,2.0,7.0,0.0,42.0,1,0,2,0,1,Other case
1175,Kundapur,1.0,4.0,0.0,39.0,1,0,2,0,1,Other case
1176,Kundapur,3.0,12.0,0.0,28.0,1,0,2,1,1,Other case
1177,Byndoor,0.0,6.0,0.0,39.0,0,0,1,4,2,Other case
1178,Udupi,0.0,3.0,1.0,26.0,1,0,2,0,1,Other case
1179,Hiriyadka,2.0,4.0,1.0,43.0,1,0,1,0,1,Accident case
1180,Karkala,1.0,4.0,0.0,37.0,0,0,1,1,2,Accident case
1181,Kundapur,0.0,4.0,1.0,60.0,0,0,0,0,2,Accident case
1182,Hebri,1.0,4.0,1.0,42.0,1,0,1,2,1,Accident case
1183,Byndoor,6.0,4.0,1.0,26.0,0,0,0,0,2,Theft case
1184,Byndoor,5.0,3.0,0.0,40.0,1,0,1,0,1,Other case
1185,Kundapur,6.0,4.0,0.0,39.0,1,0,1,0,1,Accident case
1186,Karkala,0.0,4.0,0.0,40.0,1,0,2,3,1,Accident case
1187,Kundapur,0.0,4.0,1.0,20.0,0,0,0,0,2,Other case
1188,Kundapur,0.0,4.0,0.0,49.0,1,0,2,4,1,Other case
1189,Udupi,6.0,4.0,0.0,49.0,1,0,1,0,1,Accident case
1190,Kota,6.0,4.0,1.0,42.0,0,0,0,0,2,Theft case
1191,Udupi,4.0,4.0,1.0,36.0,1,0,1,0,1,Accident case
1192,Manipal,4.0,4.0,1.0,33.0,1,0,1,1,1,Theft case
1193,Karkala,3.0,4.0,1.0,65.0,0,0,0,0,2,Theft case
1195,Udupi,4.0,4.0,0.0,41.0,1,0,2,0,1,Other case
1196,Ajekar,3.0,4.0,1.0,39.0,1,0,2,1,1,Accident case
1197,Udupi,3.0,4.0,0.0,43.0,1,0,3,1,1,Accident case
1198,Kundapur,3.0,4.0,1.0,23.0,1,0,3,0,1,Other case
1199,Udupi,2.0,4.0,1.0,36.0,1,0,4,1,1,Accident case
1201,Kundapur,2.0,4.0,1.0,17.0,1,0,1,0,1,Accident case
1202,Karkala,2.0,4.0,0.0,39.0,0,0,0,0,2,Other case
1203,Kollur,2.0,4.0,1.0,40.0,0,0,0,1,2,Other case
1204,Kollur,2.0,4.0,1.0,40.0,1,0,1,1,1,Other case
1205,Kollur,2.0,4.0,1.0,40.0,0,0,0,1,2,Other case
1206,Kollur,2.0,4.0,1.0,40.0,0,0,0,1,2,Other case
1207,Udupi,1.0,4.0,0.0,23.0,0,0,1,2,2,Other case
1208,Udupi,1.0,4.0,1.0,55.0,1,0,1,1,1,Other case
1209,Kundapur,1.0,4.0,0.0,39.0,0,0,0,0,2,Accident case
1210,Udupi,6.0,4.0,0.0,32.0,1,0,6,5,1,Other case
1211,Udupi,1.0,4.0,0.0,39.0,1,0,2,1,1,Accident case
1212,Karkala,4.0,4.0,0.0,26.0,1,0,1,2,1,Accident case
1213,Kundapur,5.0,4.0,1.0,37.0,1,0,2,1,1,Accident case
1214,Kundapur,1.0,4.0,1.0,27.0,1,0,4,0,1,Accident case
1215,Byndoor,1.0,4.0,1.0,30.0,0,0,0,0,2,Other case
1216,Byndoor,2.0,7.0,0.0,34.0,0,0,0,0,2,Other case
1217,Kota,0.0,4.0,1.0,36.0,1,0,1,0,1,Accident case
1218,Kundapur,0.0,4.0,1.0,42.0,1,0,2,1,1,Accident case
1219,Kundapur,6.0,4.0,1.0,25.0,1,0,2,0,1,Other case
1220,Udupi,2.0,5.0,0.0,25.0,0,0,0,0,2,Theft case
1221,Byndoor,2.0,5.0,1.0,33.0,1,0,2,4,1,Other case
1222,Kota,1.0,5.0,0.0,40.0,1,0,1,1,1,Missing case
1223,Kota,2.0,5.0,1.0,32.0,1,0,1,1,1,Accident case
1224,Udupi,2.0,5.0,1.0,35.0,1,0,1,0,1,Accident case
1225,Kota,6.0,5.0,0.0,28.0,0,0,0,2,2,Other case
1226,Byndoor,2.0,5.0,0.0,29.0,1,0,3,1,1,Accident case
1227,Hiriyadka,0.0,5.0,1.0,43.0,1,0,1,0,1,Other case
1228,Karkala,2.0,5.0,0.0,41.0,1,0,2,0,1,Other case
1229,Karkala,0.0,1.0,0.0,26.0,0,0,0,0,2,Other case
1230,Kundapur,1.0,5.0,1.0,32.0,1,0,2,0,1,Accident case
1231,Amasebailu,1.0,5.0,0.0,43.0,1,0,1,1,1,Accident case
1232,Manipal,1.0,5.0,1.0,39.0,0,0,0,0,2,Accident case
1233,Sirva,2.0,7.0,0.0,48.0,1,0,2,1,1,Accident case
1234,Kota,0.0,5.0,0.0,30.0,1,0,1,2,1,Accident case
1235,Kundapur,1.0,5.0,0.0,45.0,1,0,1,2,1,Accident case
1236,Karkala,6.0,3.0,0.0,35.0,1,0,2,0,1,Accident case
1237,Kundapur,4.0,6.0,0.0,39.0,0,0,0,0,2,Other case
1239,Shankaranarayana,6.0,5.0,0.0,62.0,0,0,1,1,2,Other case
1240,Shankaranarayana,0.0,5.0,0.0,67.0,0,0,0,1,2,Other case
1241,Brahmavara,5.0,5.0,0.0,56.0,0,0,0,0,2,Other case
1242,Udupi,3.0,5.0,0.0,65.0,1,0,1,2,1,Theft case
1243,Udupi,0.0,5.0,0.0,39.0,0,1,0,2,0,Other case
1244,Udupi,5.0,5.0,1.0,27.0,1,0,1,1,1,Accident case
1245,Udupi,5.0,5.0,0.0,33.0,1,0,4,0,1,Accident case
1246,Kota,0.0,4.0,0.0,39.0,1,0,2,1,1,Accident case
1247,Kota,5.0,5.0,1.0,39.0,0,0,0,2,2,Accident case
1248,Kota,5.0,5.0,1.0,23.0,1,0,2,0,1,Accident case
1249,Kota,5.0,5.0,1.0,38.0,1,0,2,0,1,Accident case
1250,Udupi,5.0,5.0,1.0,50.0,0,0,0,0,2,Theft case
1251,Udupi,1.0,5.0,0.0,50.0,0,1,1,1,0,Accident case
1252,Shankaranarayana,6.0,5.0,1.0,36.0,0,0,0,0,2,Accident case
1253,Udupi,0.0,5.0,0.0,21.0,1,0,1,1,1,Other case
1254,Kundapur,6.0,5.0,1.0,44.0,0,1,0,2,0,Accident case
1255,Karkala,6.0,5.0,1.0,19.0,0,0,0,1,2,Accident case
1256,Manipal,0.0,5.0,1.0,39.0,0,0,0,0,2,Accident case
1257,Karkala,0.0,5.0,1.0,25.0,0,0,0,0,2,Jugari case
1258,Karkala,0.0,5.0,1.0,26.0,1,0,1,0,1,Jugari case
1259,Kota,6.0,5.0,0.0,38.0,0,0,0,1,2,Other case
1260,Udupi,0.0,5.0,1.0,43.0,1,0,1,0,1,Accident case
1261,Karkala,6.0,5.0,1.0,19.0,1,0,1,0,1,Accident case
1262,Udupi,0.0,5.0,0.0,21.0,1,0,1,0,1,Other case
1263,Kundapur,6.0,5.0,0.0,25.0,1,0,1,0,1,Accident case
1264,Udupi,6.0,5.0,1.0,45.0,1,0,1,1,1,Accident case
1265,Udupi,6.0,5.0,0.0,19.0,1,0,2,0,1,Accident case
1266,Hiriyadka,5.0,5.0,1.0,39.0,1,0,3,1,1,Accident case
1267,Kota,5.0,4.0,0.0,59.0,0,0,0,0,2,Theft case
1268,Byndoor,4.0,5.0,1.0,47.0,1,0,1,0,1,Theft case
1269,Karkala,3.0,5.0,0.0,35.0,1,0,1,0,1,Theft case
1270,Kota,6.0,5.0,1.0,53.0,0,0,0,0,2,Other case
1271,Udupi,5.0,5.0,0.0,45.0,1,0,3,0,1,Accident case
1272,Udupi,5.0,5.0,1.0,68.0,1,0,2,0,1,Accident case
1273,Hebri,3.0,5.0,0.0,70.0,0,1,0,2,0,Accident case
1274,Udupi,5.0,5.0,1.0,39.0,0,0,0,1,2,Theft case
1275,Karkala,2.0,7.0,0.0,39.0,0,0,0,0,2,Fraud case
1276,Kota,5.0,5.0,0.0,40.0,0,0,0,0,2,Other case
1277,Udupi,4.0,5.0,0.0,41.0,0,0,0,3,2,Other case
1278,Kundapur,1.0,4.0,0.0,38.0,1,0,5,1,1,Accident case
1279,Kundapur,4.0,5.0,0.0,51.0,1,0,1,0,1,Accident case
1280,Kundapur,3.0,5.0,0.0,39.0,1,0,1,0,1,Theft case
1281,Kundapur,4.0,5.0,0.0,54.0,0,0,0,1,2,Theft case
1282,Karkala,4.0,5.0,1.0,52.0,1,0,2,2,1,Theft case
1283,Udupi,3.0,5.0,1.0,45.0,1,0,1,1,1,Missing case
1284,Karkala,3.0,5.0,0.0,39.0,1,0,2,1,1,Other case
1285,Karkala,4.0,6.0,0.0,44.0,0,0,0,2,2,Other case
1286,Udupi,2.0,7.0,0.0,39.0,1,0,1,1,1,Other case
1287,Karkala,4.0,5.0,1.0,60.0,0,0,0,0,2,Theft case
1288,Manipal,3.0,5.0,0.0,39.0,0,0,0,0,2,Theft case
1289,Byndoor,3.0,5.0,1.0,29.0,0,0,0,0,2,Other case
1290,Kota,3.0,5.0,0.0,67.0,1,0,2,1,1,Other case
1291,Kota,3.0,5.0,0.0,42.0,0,0,0,4,2,Other case
1292,Byndoor,3.0,5.0,0.0,44.0,1,0,4,1,1,Accident case
1293,Udupi,4.0,3.0,0.0,74.0,1,0,1,0,1,Fraud case
1294,Kota,2.0,5.0,1.0,35.0,1,0,3,2,1,Other case
1295,Udupi,2.0,5.0,0.0,47.0,0,0,0,7,2,Other case
1296,Udupi,2.0,5.0,1.0,30.0,0,0,0,0,2,Other case
1297,Karkala,2.0,5.0,0.0,52.0,1,0,4,0,1,Accident case
1298,Byndoor,1.0,5.0,0.0,30.0,1,0,3,0,1,Accident case
1299,Udupi,0.0,5.0,1.0,55.0,0,0,0,1,2,Accident case
1300,Shankaranarayana,5.0,4.0,0.0,72.0,0,0,0,0,2,Other case
1301,Amasebailu,1.0,5.0,0.0,29.0,1,0,2,1,1,Missing case
1302,Kundapur,0.0,5.0,1.0,41.0,0,0,0,1,2,Theft case
1303,Byndoor,1.0,5.0,0.0,28.0,1,0,3,0,1,Other case
1304,Kundapur,2.0,3.0,0.0,1.0,0,0,0,0,2,Other case
1305,Hebri,0.0,5.0,1.0,37.0,1,0,3,1,1,Accident case
1306,Byndoor,2.0,5.0,0.0,32.0,1,0,1,3,1,Other case
1307,Udupi,0.0,5.0,0.0,54.0,1,0,1,1,1,Accident case
1308,Kundapur,6.0,5.0,0.0,45.0,0,0,0,1,2,Accident case
1309,Udupi,1.0,5.0,1.0,21.0,1,0,2,1,1,Missing case
1310,Hebri,4.0,6.0,1.0,29.0,0,0,1,2,2,Accident case
1311,Kundapur,4.0,6.0,1.0,39.0,1,0,1,0,1,Accident case
1312,Karkala,3.0,6.0,0.0,14.0,0,1,1,1,0,Other case
1313,Ajekar,3.0,6.0,0.0,48.0,0,0,0,0,2,Accident case
1314,Karkala,3.0,6.0,1.0,42.0,1,0,1,0,1,Other case
1315,Byndoor,3.0,6.0,0.0,39.0,0,0,0,0,2,Other case
1316,Kundapur,1.0,2.0,0.0,32.0,0,1,2,2,0,Other case
1317,Amasebailu,2.0,7.0,0.0,39.0,0,0,0,0,2,Other case
1318,Byndoor,3.0,6.0,1.0,31.0,1,0,2,1,1,Other case
1319,Karkala,2.0,6.0,1.0,39.0,0,0,0,0,2,Accident case
